candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Vandevender, Dorothy",House,80,Libertarian,0.0,25.0,25.0,0.0,25.0,1,01/21/2020,2020-05-21
"Mitchell, Braxton  M",House,03,Republican,0.0,2935.0,2935.0,1181.53,1753.47,3,05/14/2020,2020-05-21
"Broling, Claire",House,68,Democrat,0.0,0.0,0.0,0.0,0.0,1,03/15/2020,2020-05-21
"Greef, Sharon",House,88,Republican,0.0,4970.0,4970.0,862.79,4107.21,5,04/15/2020,2020-05-19
"Galloway, Steven  E",House,24,Republican,5925.0,0.0,5925.0,1204.56,4720.44,3,05/15/2020,2020-05-21
"Grubbs, Bruce",House,68,Republican,360.0,14680.64,15040.64,8620.76,6419.88,7,05/18/2020,2020-05-21
"Garcia, Rodney",Senate,26,Republican,0.0,0.0,0.0,0.0,0.0,2,04/20/2020,2020-05-21
"Galt, Errol  Wylie",House,30,Republican,2070.0,0.0,2070.0,13.8,2056.2,3,05/14/2020,2020-05-21
"weatherwax , Marvin  R",House,15,Democrat,0.0,0.0,0.0,0.0,0.0,4,05/20/2020,2020-05-21
"Buckley, Alice  A",House,63,Democrat,10490.0,0.0,10490.0,4407.809999999999,6082.19,4,05/15/2020,2020-05-21
"McKenty, Nate",House,45,Libertarian,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Lenz, Dennis  R.",House,53,Republican,9798.48,0.0,9798.48,5165.0,4633.48,3,05/15/2020,2020-05-21
"Schaefer, Andrew  T",House,67,Libertarian,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Bennett, Daniel   A",House,61,Libertarian,0.0,0.0,0.0,0.0,0.0,2,04/15/2020,2020-05-21
"Welborn, Jeffrey",Senate,36,Republican,3018.11,1790.0,4808.110000000001,2300.0,2148.11,5,05/15/2020,2020-05-21
"Welch, Tom",House,72,Republican,460.0,2825.0,3285.0,2357.91,927.09,5,05/14/2020,2020-05-21
"Borstad, Sylvia  R",House,03,Democrat,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Fitzgerald, Ross  H",House,17,Republican,0.0,840.0,840.0,0.0,840.0,1,05/15/2020,2020-05-21
"Ravndal, Tim",House,70,Republican,0.0,530.0,530.0,103.22999999999999,426.77,3,05/14/2020,2020-05-21
"mischel, pat  a",Senate,18,Democrat,3165.0,0.0,3165.0,1764.6599999999999,1400.34,3,05/14/2020,2020-05-21
"Larsh (Test account), Molly",House,79,Independent,0.0,1610.0,1610.0,580.0,1030.0,2,01/02/2020,2020-05-21
"Smith, Melissa  L",House,20,Democrat,2870.0,0.0,2870.0,1521.83,1348.17,3,05/15/2020,2020-05-21
"Phalen, Bob",House,36,Republican,0.0,9560.5,9560.5,7268.0599999999995,2292.44,3,05/15/2020,2020-05-21
"Carlson, Jennifer  K",House,69,Republican,0.0,6825.0,6825.0,5279.400000000001,1545.6,5,05/15/2020,2020-05-21
"Hansen, LouAnn",House,97,Democrat,0.0,5148.72,5148.72,2788.66,2360.06,6,06/02/2020,2020-05-21
"Molnar, Bradley  A",Senate,28,Republican,0.0,19217.260000000002,19217.260000000002,13359.44,5857.82,3,05/18/2020,2020-05-21
"French, Mark  T.",House,14,Republican,0.0,15.0,15.0,0.0,15.0,3,05/15/2020,2020-05-21
"Smith, Bridget",Senate,16,Democrat,0.0,280.0,280.0,0.0,280.0,3,05/15/2020,2020-05-21
"Nygaard, Colin  Micha",House,49,Republican,0.0,0.0,0.0,0.0,0.0,2,04/15/2020,2020-05-21
"Thane, Mark  A",House,99,Democrat,0.0,6670.0,6670.0,2680.1299999999997,3989.87,5,05/15/2020,2020-05-21
"Marler, Marilyn",House,90,Democrat,915.0,0.0,915.0,36.0,879.0,5,05/15/2020,2020-05-21
"Dupree, Jestin  L",Senate,16,Democrat,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"bridges, curtis  r",House,95,Republican,0.0,0.0,0.0,0.0,0.0,1,03/23/2020,2020-05-21
